term_id,lang,term,reltype,related_term_id,related_lang,related_term,position,group_tag,parent_tag,parent_position
BRKKL7ngUz2rzpkjvf5AWA,English,crow,inherited_from,vhY5nC_JVzmRZ7F0LHdGbg,Old English,crāwan,0,,bFfa2SdGQ9KpMUThSTxGKA,1.0
BRKKL7ngUz2rzpkjvf5AWA,English,crow,inherited_from,KSyt_1XCVECabKDsJR0yag,Proto-Germanic,*krēaną,0,,Wyo6ACY2RRejQQV0b_37aw,1.0
davnTGOxWc-Xgk206j61gA,English,December,inherited_from,DxmhWG9_WwyJTqwFSsQ7KA,Middle English,December,0,,HdgHwggfRuav2jXjScwVyQ,0.0
0ZYn72gbX_ikCTbg-E-Lhg,English,elephant,inherited_from,qPzMz3diXdWwbIZ00fBNZw,Middle English,elefant,0,,D0Vw4MgdQ9KIpLJt6bKqDg,0.0
ApdGVabzXUeF_CQDtO959A,English,February,inherited_from,KdsyQmKiVoeAXDKq5M0cvA,Middle English,Februarie,0,,QjoTJ44DQf6sS0niYn6v2g,0.0
tF6eHCsJWDquUr7pMHdsgg,English,January,inherited_from,b-l9PnckWfeCVWbJr5y1tA,Middle English,Januarie,0,,zKGlzCzXSA6e1uys_SsLMQ,0.0
KDYqWy45UFi8dV3ugue-iQ,English,march,inherited_from,bZjUP2xoXfK6F8BDSCSF6g,Middle English,marchen,0,,b2d4Xv3KR9OSi8YVkBq9kg,0.0
KDYqWy45UFi8dV3ugue-iQ,English,march,inherited_from,ZVVB3XMwUtKtjOSFgAzl6g,Old English,mearcian,0,,POEOY1cdSHqEoypwM-hogQ,1.0
KDYqWy45UFi8dV3ugue-iQ,English,march,inherited_from,KOxhz8DBURSqktBbs25EAw,Middle English,marche,0,,aDHb1QYbSySZiOLo_xdqNw,0.0
KDYqWy45UFi8dV3ugue-iQ,English,march,inherited_from,B_wUqka-U7CBaMerjAo32g,Middle English,merche,0,,wrxY1WGiSzGuHFA_XZhQlg,0.0
KDYqWy45UFi8dV3ugue-iQ,English,march,inherited_from,4HNyJqWvWR6rgiJ5Vx-a0A,Old English,merċe,0,,ZQi-x6AlRzWlD-_wh8gtPQ,0.0
KDYqWy45UFi8dV3ugue-iQ,English,march,inherited_from,uQtfaOyGUziTbGxjhGW9Uw,Proto-West Germanic,*marik,0,,hAIQ6mP8TbyNC0QZ2iXQFg,0.0
LmTthuVpVXWuyeHVLh6KTg,English,month,inherited_from,DFAYbAHHV4uZfgPG4Kh1dw,Middle English,month,0,,PaowEhi-TEuvsth3-_mJwA,0.0
LmTthuVpVXWuyeHVLh6KTg,English,month,inherited_from,eOoY-n-6W0CBGchp54z1pQ,Old English,mōnaþ,0,,sbkb3TwaS1WE9PPyp6GzlQ,0.0
LmTthuVpVXWuyeHVLh6KTg,English,month,inherited_from,jDynLCeIVNe85BSe_BWFtQ,Proto-Germanic,*mēnōþs,0,,sbkb3TwaS1WE9PPyp6GzlQ,1.0
LmTthuVpVXWuyeHVLh6KTg,English,month,inherited_from,lxpMFBH4VSa6KCSgatZlXg,Proto-Indo-European,*mḗh₁n̥s,0,,sbkb3TwaS1WE9PPyp6GzlQ,2.0
JlD1U6L3UI2IpSWTbjW2ow,English,brown,inherited_from,ii_jOgUKUzKfZQnKAWFBqQ,Middle English,broun,0,,mnLf-HbWQKC_pFgdhZt6HQ,1.0
JlD1U6L3UI2IpSWTbjW2ow,English,brown,inherited_from,IFa4aP7dUPKF7_e4BcJ0Dg,Old English,brūn,0,,mnLf-HbWQKC_pFgdhZt6HQ,2.0
JlD1U6L3UI2IpSWTbjW2ow,English,brown,inherited_from,7323OUt6VRW9cqg8HdJ7qA,Proto-West Germanic,*brūn,0,,mnLf-HbWQKC_pFgdhZt6HQ,3.0
JlD1U6L3UI2IpSWTbjW2ow,English,brown,inherited_from,Cdqe0uOvV_W6U_MVNDFMiw,Proto-Germanic,*brūnaz,0,,mnLf-HbWQKC_pFgdhZt6HQ,4.0
JlD1U6L3UI2IpSWTbjW2ow,English,brown,inherited_from,sQln8cICVq2crOcsLiMNug,Proto-Indo-European,*bʰerH-,0,,mnLf-HbWQKC_pFgdhZt6HQ,5.0
ipuBq7NWU3O14NsnS5JyBg,English,may,inherited_from,em5PbblKVF6Atr7EPp0k4Q,Middle English,mowen,0,,9BAF-edDR6aeBSQ-qYtmkg,0.0
ipuBq7NWU3O14NsnS5JyBg,English,may,inherited_from,DZog7TsuVX6urdC7Mzn-ZQ,Old English,magan,0,,t21NZp4cToOCcoOUfGbKzg,0.0
ipuBq7NWU3O14NsnS5JyBg,English,may,inherited_from,9d2epjIrXsmaAcslbUSI4Q,Proto-West Germanic,*magan,0,,t21NZp4cToOCcoOUfGbKzg,1.0
ipuBq7NWU3O14NsnS5JyBg,English,may,inherited_from,3kq7lrZRV6Kdp5_Nxp3OPg,Proto-Germanic,*maganą,0,,t21NZp4cToOCcoOUfGbKzg,2.0
ipuBq7NWU3O14NsnS5JyBg,English,may,inherited_from,1dxiwum7VzuITP6XlKO5Kg,Proto-Indo-European,*megʰ-,0,,t21NZp4cToOCcoOUfGbKzg,3.0
efStnu05X9SIMm1RHFKvaw,English,April,inherited_from,B-ypUdSdXouqgRZD9pLCiw,Middle English,apprile,0,,LfoKo8yQT6Gmy95lPQBzrA,0.0
Yp10N51oUTeObYe6MO-y7w,English,June,inherited_from,Zs4qGKXkUTep6TYyh6cH9Q,Middle English,June,0,,AgzvvOV8Qlyr7UrEXZTMAA,0.0
9SAh06N3UyiIBXbfv02Pkg,English,July,inherited_from,18iBXuuJUcKjn2jlTSYqSw,Middle English,Julie,0,,XbZJmNEASDyZ6A7A6Gd2RQ,0.0
4RAIJMIKXC-PqM2hVmvRTA,English,day,inherited_from,KDTbpz_sW_24wSTzZ6bBzA,Middle English,day,0,,VSFBc4RURhG2kG9UgEBFNw,1.0
4RAIJMIKXC-PqM2hVmvRTA,English,day,inherited_from,PfRTF4pTWpSEnKnT25LwPg,Old English,dæġ,0,,VSFBc4RURhG2kG9UgEBFNw,2.0
4RAIJMIKXC-PqM2hVmvRTA,English,day,inherited_from,71QsxPFMVfe3gru1PfQRWQ,Proto-West Germanic,*dag,0,,VSFBc4RURhG2kG9UgEBFNw,3.0
4RAIJMIKXC-PqM2hVmvRTA,English,day,inherited_from,K7ZD_5sqXnW-bjtZSma3PQ,Proto-Germanic,*dagaz,0,,VSFBc4RURhG2kG9UgEBFNw,4.0
F_5_baWvWz-VLH1rQxb0_w,English,November,inherited_from,oMm5U3uXWHCoS3JtHmyUIg,Middle English,Novembre,0,,4W0wmLjCQPu2qUud2C2eMg,0.0
gNkJrAf8Xh6DYPPJ23UCrg,English,Tuesday,inherited_from,Ph9ekm9eUiOtysIsHgDBqw,Middle English,Tewesday,0,,VLcTubyyRi2McNhd8cKLXA,1.0
gNkJrAf8Xh6DYPPJ23UCrg,English,Tuesday,inherited_from,_Tlsn9cwXRK0UAZ6-_7I6w,Old English,tīwesdæġ,0,,VLcTubyyRi2McNhd8cKLXA,2.0
gNkJrAf8Xh6DYPPJ23UCrg,English,Tuesday,inherited_from,r8rGzV91X56DZlMPYO5nOA,Proto-West Germanic,*Tīwas dag,0,,VLcTubyyRi2McNhd8cKLXA,3.0
YYtpkfa2VayzZM4_2sUz3A,English,Monday,inherited_from,I3aJCiYCXi6evP3cB-Zyfg,Middle English,Monday,0,,nRyOBJEWStKXmf3c8XqOEA,0.0
YYtpkfa2VayzZM4_2sUz3A,English,Monday,inherited_from,DVFJUqe5XKuRADSwAP-NvA,Old English,mōnandæġ,0,,s-XUbnOdTdyy0tQP7EPClg,0.0
